year,year_annotation,race,race_annotation,number,income,percent
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,75 000 to 99 999,12.4
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,100 000 to 149 999,19.9
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,150 000 to 199 999,8.8
1998,NA,ASIAN AND PACIFIC ISLANDER,25,3308,200 000 and over,7.9
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,under 15 000,9.3
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,15 000 to 24 999,7.9
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,25 000 to 34 999,6.5
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,35 000 to 49 999,10.1
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,50 000 to 74 999,18.3
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,75 000 to 99 999,13.9
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,100 000 to 149 999,17.3
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,150 000 to 199 999,9
1997,NA,ASIAN AND PACIFIC ISLANDER,25,3125,200 000 and over,7.7
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,under 15 000,10.4
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,15 000 to 24 999,7.4
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,25 000 to 34 999,6.7
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,35 000 to 49 999,10.9
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,50 000 to 74 999,17.8
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,75 000 to 99 999,12.2
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,100 000 to 149 999,18.7
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,150 000 to 199 999,9.6
1996,NA,ASIAN AND PACIFIC ISLANDER,25,2998,200 000 and over,6.4
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,under 15 000,9.7
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,15 000 to 24 999,8.5
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,25 000 to 34 999,8.1
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,35 000 to 49 999,9.5
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,50 000 to 74 999,18.5
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,75 000 to 99 999,14.4
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,100 000 to 149 999,17.2
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,150 000 to 199 999,7.1
1995,10,ASIAN AND PACIFIC ISLANDER,25,2777,200 000 and over,7.1
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,under 15 000,9.6
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,15 000 to 24 999,8.9
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,25 000 to 34 999,7.1
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,35 000 to 49 999,10.6
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,50 000 to 74 999,17.3
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,75 000 to 99 999,13.3
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,100 000 to 149 999,18.3
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,150 000 to 199 999,7.6
1994,11,ASIAN AND PACIFIC ISLANDER,25,2040,200 000 and over,7.3
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,under 15 000,11.6
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,15 000 to 24 999,8.6
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,25 000 to 34 999,8.4
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,35 000 to 49 999,10.9
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,50 000 to 74 999,15.2
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,75 000 to 99 999,13.1
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,100 000 to 149 999,19
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,150 000 to 199 999,7.2
1993,12,ASIAN AND PACIFIC ISLANDER,25,2233,200 000 and over,6.1
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,under 15 000,9.7
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,15 000 to 24 999,8.1
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,25 000 to 34 999,8.7
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,35 000 to 49 999,10.3
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,50 000 to 74 999,18.9
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,75 000 to 99 999,13.5
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,100 000 to 149 999,17.5
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,150 000 to 199 999,7.3
1992,13,ASIAN AND PACIFIC ISLANDER,25,2262,200 000 and over,6
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,under 15 000,10
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,15 000 to 24 999,7.4
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,25 000 to 34 999,8.1
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,35 000 to 49 999,12.8
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,50 000 to 74 999,17.5
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,75 000 to 99 999,13.5
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,100 000 to 149 999,17.1
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,150 000 to 199 999,7.8
1991,NA,ASIAN AND PACIFIC ISLANDER,25,2094,200 000 and over,5.9
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,under 15 000,8.3
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,15 000 to 24 999,7.5
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,25 000 to 34 999,8
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,35 000 to 49 999,10.1
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,50 000 to 74 999,17.5
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,75 000 to 99 999,16.3
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,100 000 to 149 999,17.5
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,150 000 to 199 999,8
1990,NA,ASIAN AND PACIFIC ISLANDER,25,1958,200 000 and over,6.8
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,under 15 000,7.6
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,15 000 to 24 999,7.9
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,25 000 to 34 999,7.2
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,35 000 to 49 999,10.6
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,50 000 to 74 999,19.2
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,75 000 to 99 999,14.9
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,100 000 to 149 999,17.9
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,150 000 to 199 999,8.1
1989,NA,ASIAN AND PACIFIC ISLANDER,25,1988,200 000 and over,6.7
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,under 15 000,8.1
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,15 000 to 24 999,8.7
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,25 000 to 34 999,9
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,35 000 to 49 999,10.9
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,50 000 to 74 999,17.7
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,75 000 to 99 999,14.8
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,100 000 to 149 999,16.9
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,150 000 to 199 999,7.8
1988,NA,ASIAN AND PACIFIC ISLANDER,25,1913,200 000 and over,6.1
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,under 15 000,10
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,15 000 to 24 999,9
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,25 000 to 34 999,8.8
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,35 000 to 49 999,10
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,50 000 to 74 999,15.9
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,75 000 to 99 999,14.7
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,100 000 to 149 999,18.5
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,150 000 to 199 999,7.9
1987,14,ASIAN AND PACIFIC ISLANDER,25,NA,200 000 and over,5.2
2019,NA,HISPANIC (ANY RACE),28,17667,under 15 000,10.7
2019,NA,HISPANIC (ANY RACE),28,17667,15 000 to 24 999,8.8
2019,NA,HISPANIC (ANY RACE),28,17667,25 000 to 34 999,10.5
2019,NA,HISPANIC (ANY RACE),28,17667,35 000 to 49 999,14.1
2019,NA,HISPANIC (ANY RACE),28,17667,50 000 to 74 999,19.5
2019,NA,HISPANIC (ANY RACE),28,17667,75 000 to 99 999,12.2
2019,NA,HISPANIC (ANY RACE),28,17667,100 000 to 149 999,13
2019,NA,HISPANIC (ANY RACE),28,17667,150 000 to 199 999,5.9
2019,NA,HISPANIC (ANY RACE),28,17667,200 000 and over,5.3
2018,NA,HISPANIC (ANY RACE),28,17758,under 15 000,11.2
2018,NA,HISPANIC (ANY RACE),28,17758,15 000 to 24 999,10.9
2018,NA,HISPANIC (ANY RACE),28,17758,25 000 to 34 999,10.7
2018,NA,HISPANIC (ANY RACE),28,17758,35 000 to 49 999,15
2018,NA,HISPANIC (ANY RACE),28,17758,50 000 to 74 999,18.6
2018,NA,HISPANIC (ANY RACE),28,17758,75 000 to 99 999,12.8
2018,NA,HISPANIC (ANY RACE),28,17758,100 000 to 149 999,11.6
2018,NA,HISPANIC (ANY RACE),28,17758,150 000 to 199 999,4.8
2018,NA,HISPANIC (ANY RACE),28,17758,200 000 and over,4.4
2017,2,HISPANIC (ANY RACE),28,17336,under 15 000,11.8
2017,2,HISPANIC (ANY RACE),28,17336,15 000 to 24 999,10.4
2017,2,HISPANIC (ANY RACE),28,17336,25 000 to 34 999,11.4
2017,2,HISPANIC (ANY RACE),28,17336,35 000 to 49 999,14.3
2017,2,HISPANIC (ANY RACE),28,17336,50 000 to 74 999,19
2017,2,HISPANIC (ANY RACE),28,17336,75 000 to 99 999,12
2017,2,HISPANIC (ANY RACE),28,17336,100 000 to 149 999,12.2
2017,2,HISPANIC (ANY RACE),28,17336,150 000 to 199 999,4.5
2017,2,HISPANIC (ANY RACE),28,17336,200 000 and over,4.3
2017,NA,HISPANIC (ANY RACE),28,17318,under 15 000,11.6
2017,NA,HISPANIC (ANY RACE),28,17318,15 000 to 24 999,10.3
2017,NA,HISPANIC (ANY RACE),28,17318,25 000 to 34 999,11.4
2017,NA,HISPANIC (ANY RACE),28,17318,35 000 to 49 999,14.3
2017,NA,HISPANIC (ANY RACE),28,17318,50 000 to 74 999,18.5
2017,NA,HISPANIC (ANY RACE),28,17318,75 000 to 99 999,12.5
2017,NA,HISPANIC (ANY RACE),28,17318,100 000 to 149 999,12.2
2017,NA,HISPANIC (ANY RACE),28,17318,150 000 to 199 999,4.9
2017,NA,HISPANIC (ANY RACE),28,17318,200 000 and over,4.3
2016,NA,HISPANIC (ANY RACE),28,16915,under 15 000,11.9
2016,NA,HISPANIC (ANY RACE),28,16915,15 000 to 24 999,10.8
2016,NA,HISPANIC (ANY RACE),28,16915,25 000 to 34 999,11.3
2016,NA,HISPANIC (ANY RACE),28,16915,35 000 to 49 999,15.4
2016,NA,HISPANIC (ANY RACE),28,16915,50 000 to 74 999,18
2016,NA,HISPANIC (ANY RACE),28,16915,75 000 to 99 999,12.3
2016,NA,HISPANIC (ANY RACE),28,16915,100 000 to 149 999,12
2016,NA,HISPANIC (ANY RACE),28,16915,150 000 to 199 999,4.6
2016,NA,HISPANIC (ANY RACE),28,16915,200 000 and over,3.9
2015,NA,HISPANIC (ANY RACE),28,16667,under 15 000,12.6
2015,NA,HISPANIC (ANY RACE),28,16667,15 000 to 24 999,11.9
2015,NA,HISPANIC (ANY RACE),28,16667,25 000 to 34 999,12.4
2015,NA,HISPANIC (ANY RACE),28,16667,35 000 to 49 999,14.6
2015,NA,HISPANIC (ANY RACE),28,16667,50 000 to 74 999,17.5
2015,NA,HISPANIC (ANY RACE),28,16667,75 000 to 99 999,11.9
2015,NA,HISPANIC (ANY RACE),28,16667,100 000 to 149 999,10.7
2015,NA,HISPANIC (ANY RACE),28,16667,150 000 to 199 999,4.4
2015,NA,HISPANIC (ANY RACE),28,16667,200 000 and over,3.8
2014,NA,HISPANIC (ANY RACE),28,16239,under 15 000,13.5
2014,NA,HISPANIC (ANY RACE),28,16239,15 000 to 24 999,13.2
2014,NA,HISPANIC (ANY RACE),28,16239,25 000 to 34 999,11.9
2014,NA,HISPANIC (ANY RACE),28,16239,35 000 to 49 999,15
2014,NA,HISPANIC (ANY RACE),28,16239,50 000 to 74 999,17.9
2014,NA,HISPANIC (ANY RACE),28,16239,75 000 to 99 999,11.6
2014,NA,HISPANIC (ANY RACE),28,16239,100 000 to 149 999,10.7
2014,NA,HISPANIC (ANY RACE),28,16239,150 000 to 199 999,3.5
2014,NA,HISPANIC (ANY RACE),28,16239,200 000 and over,2.7
2013,3,HISPANIC (ANY RACE),28,16088,under 15 000,13.7
2013,3,HISPANIC (ANY RACE),28,16088,15 000 to 24 999,13.4
2013,3,HISPANIC (ANY RACE),28,16088,25 000 to 34 999,13.2
2013,3,HISPANIC (ANY RACE),28,16088,35 000 to 49 999,16.1
2013,3,HISPANIC (ANY RACE),28,16088,50 000 to 74 999,16.2
2013,3,HISPANIC (ANY RACE),28,16088,75 000 to 99 999,9.9
2013,3,HISPANIC (ANY RACE),28,16088,100 000 to 149 999,9.7
2013,3,HISPANIC (ANY RACE),28,16088,150 000 to 199 999,4
2013,3,HISPANIC (ANY RACE),28,16088,200 000 and over,3.6
2013,4,HISPANIC (ANY RACE),28,15811,under 15 000,14.3
2013,4,HISPANIC (ANY RACE),28,15811,15 000 to 24 999,12.7
2013,4,HISPANIC (ANY RACE),28,15811,25 000 to 34 999,12.5
2013,4,HISPANIC (ANY RACE),28,15811,35 000 to 49 999,15.9
2013,4,HISPANIC (ANY RACE),28,15811,50 000 to 74 999,17.4
2013,4,HISPANIC (ANY RACE),28,15811,75 000 to 99 999,10.8
2013,4,HISPANIC (ANY RACE),28,15811,100 000 to 149 999,10.6
2013,4,HISPANIC (ANY RACE),28,15811,150 000 to 199 999,3.5
2013,4,HISPANIC (ANY RACE),28,15811,200 000 and over,2.3
2012,NA,HISPANIC (ANY RACE),28,15589,under 15 000,15.1
2012,NA,HISPANIC (ANY RACE),28,15589,15 000 to 24 999,13
2012,NA,HISPANIC (ANY RACE),28,15589,25 000 to 34 999,13.2
2012,NA,HISPANIC (ANY RACE),28,15589,35 000 to 49 999,14.8
2012,NA,HISPANIC (ANY RACE),28,15589,50 000 to 74 999,18.2
2012,NA,HISPANIC (ANY RACE),28,15589,75 000 to 99 999,10.2
2012,NA,HISPANIC (ANY RACE),28,15589,100 000 to 149 999,9.7
2012,NA,HISPANIC (ANY RACE),28,15589,150 000 to 199 999,3.4
2012,NA,HISPANIC (ANY RACE),28,15589,200 000 and over,2.5
2011,NA,HISPANIC (ANY RACE),28,14939,under 15 000,14.7
2011,NA,HISPANIC (ANY RACE),28,14939,15 000 to 24 999,12.1
2011,NA,HISPANIC (ANY RACE),28,14939,25 000 to 34 999,13.5
2011,NA,HISPANIC (ANY RACE),28,14939,35 000 to 49 999,15.8
2011,NA,HISPANIC (ANY RACE),28,14939,50 000 to 74 999,18.4
2011,NA,HISPANIC (ANY RACE),28,14939,75 000 to 99 999,9.7
2011,NA,HISPANIC (ANY RACE),28,14939,100 000 to 149 999,9.7
2011,NA,HISPANIC (ANY RACE),28,14939,150 000 to 199 999,3.7
2011,NA,HISPANIC (ANY RACE),28,14939,200 000 and over,2.5
2010,5,HISPANIC (ANY RACE),28,14435,under 15 000,14.6
2010,5,HISPANIC (ANY RACE),28,14435,15 000 to 24 999,12.8
2010,5,HISPANIC (ANY RACE),28,14435,25 000 to 34 999,12.3
2010,5,HISPANIC (ANY RACE),28,14435,35 000 to 49 999,15.7
2010,5,HISPANIC (ANY RACE),28,14435,50 000 to 74 999,17.7
2010,5,HISPANIC (ANY RACE),28,14435,75 000 to 99 999,11
2010,5,HISPANIC (ANY RACE),28,14435,100 000 to 149 999,9.6
2010,5,HISPANIC (ANY RACE),28,14435,150 000 to 199 999,3.8
2010,5,HISPANIC (ANY RACE),28,14435,200 000 and over,2.3
2009,6,HISPANIC (ANY RACE),28,13298,under 15 000,13.5
2009,6,HISPANIC (ANY RACE),28,13298,15 000 to 24 999,12.9
2009,6,HISPANIC (ANY RACE),28,13298,25 000 to 34 999,12.1
2009,6,HISPANIC (ANY RACE),28,13298,35 000 to 49 999,15.8
2009,6,HISPANIC (ANY RACE),28,13298,50 000 to 74 999,18
2009,6,HISPANIC (ANY RACE),28,13298,75 000 to 99 999,10.8
2009,6,HISPANIC (ANY RACE),28,13298,100 000 to 149 999,10.6
2009,6,HISPANIC (ANY RACE),28,13298,150 000 to 199 999,3.5
2009,6,HISPANIC (ANY RACE),28,13298,200 000 and over,2.9
2008,NA,HISPANIC (ANY RACE),28,13425,under 15 000,13.8
2008,NA,HISPANIC (ANY RACE),28,13425,15 000 to 24 999,13
2008,NA,HISPANIC (ANY RACE),28,13425,25 000 to 34 999,11.1
2008,NA,HISPANIC (ANY RACE),28,13425,35 000 to 49 999,17.6
2008,NA,HISPANIC (ANY RACE),28,13425,50 000 to 74 999,17.5
2008,NA,HISPANIC (ANY RACE),28,13425,75 000 to 99 999,10.3
2008,NA,HISPANIC (ANY RACE),28,13425,100 000 to 149 999,10.6
2008,NA,HISPANIC (ANY RACE),28,13425,150 000 to 199 999,3.7
2008,NA,HISPANIC (ANY RACE),28,13425,200 000 and over,2.5
2007,NA,HISPANIC (ANY RACE),28,13339,under 15 000,12.5
2007,NA,HISPANIC (ANY RACE),28,13339,15 000 to 24 999,12.3
2007,NA,HISPANIC (ANY RACE),28,13339,25 000 to 34 999,11.5
2007,NA,HISPANIC (ANY RACE),28,13339,35 000 to 49 999,16.6
2007,NA,HISPANIC (ANY RACE),28,13339,50 000 to 74 999,18.6
2007,NA,HISPANIC (ANY RACE),28,13339,75 000 to 99 999,11.9
2007,NA,HISPANIC (ANY RACE),28,13339,100 000 to 149 999,10.5
2007,NA,HISPANIC (ANY RACE),28,13339,150 000 to 199 999,3.5
2007,NA,HISPANIC (ANY RACE),28,13339,200 000 and over,2.6
2006,NA,HISPANIC (ANY RACE),28,12973,under 15 000,12.1
2006,NA,HISPANIC (ANY RACE),28,12973,15 000 to 24 999,11.5
2006,NA,HISPANIC (ANY RACE),28,12973,25 000 to 34 999,12.2
2006,NA,HISPANIC (ANY RACE),28,12973,35 000 to 49 999,15.8
2006,NA,HISPANIC (ANY RACE),28,12973,50 000 to 74 999,19.5
2006,NA,HISPANIC (ANY RACE),28,12973,75 000 to 99 999,11.5
2006,NA,HISPANIC (ANY RACE),28,12973,100 000 to 149 999,10.8
2006,NA,HISPANIC (ANY RACE),28,12973,150 000 to 199 999,4
2006,NA,HISPANIC (ANY RACE),28,12973,200 000 and over,2.7
2005,NA,HISPANIC (ANY RACE),28,12519,under 15 000,12.4
2005,NA,HISPANIC (ANY RACE),28,12519,15 000 to 24 999,12
2005,NA,HISPANIC (ANY RACE),28,12519,25 000 to 34 999,12.3
2005,NA,HISPANIC (ANY RACE),28,12519,35 000 to 49 999,16.5
2005,NA,HISPANIC (ANY RACE),28,12519,50 000 to 74 999,19.2
2005,NA,HISPANIC (ANY RACE),28,12519,75 000 to 99 999,11.5
2005,NA,HISPANIC (ANY RACE),28,12519,100 000 to 149 999,9.9
2005,NA,HISPANIC (ANY RACE),28,12519,150 000 to 199 999,3.5
2005,NA,HISPANIC (ANY RACE),28,12519,200 000 and over,2.6
2004,7,HISPANIC (ANY RACE),28,12178,under 15 000,12.7
2004,7,HISPANIC (ANY RACE),28,12178,15 000 to 24 999,12
2004,7,HISPANIC (ANY RACE),28,12178,25 000 to 34 999,13.2
2004,7,HISPANIC (ANY RACE),28,12178,35 000 to 49 999,15.7
2004,7,HISPANIC (ANY RACE),28,12178,50 000 to 74 999,19.5
2004,7,HISPANIC (ANY RACE),28,12178,75 000 to 99 999,10.5
2004,7,HISPANIC (ANY RACE),28,12178,100 000 to 149 999,10.4
2004,7,HISPANIC (ANY RACE),28,12178,150 000 to 199 999,3.4
2004,7,HISPANIC (ANY RACE),28,12178,200 000 and over,2.6
2003,NA,HISPANIC (ANY RACE),28,11693,under 15 000,12.3
2003,NA,HISPANIC (ANY RACE),28,11693,15 000 to 24 999,12
2003,NA,HISPANIC (ANY RACE),28,11693,25 000 to 34 999,13.3
2003,NA,HISPANIC (ANY RACE),28,11693,35 000 to 49 999,16
2003,NA,HISPANIC (ANY RACE),28,11693,50 000 to 74 999,18.7
2003,NA,HISPANIC (ANY RACE),28,11693,75 000 to 99 999,11.2
2003,NA,HISPANIC (ANY RACE),28,11693,100 000 to 149 999,10.5
2003,NA,HISPANIC (ANY RACE),28,11693,150 000 to 199 999,3.2
2003,NA,HISPANIC (ANY RACE),28,11693,200 000 and over,2.8
2002,NA,HISPANIC (ANY RACE),28,11339,under 15 000,12
2002,NA,HISPANIC (ANY RACE),28,11339,15 000 to 24 999,11.8
2002,NA,HISPANIC (ANY RACE),28,11339,25 000 to 34 999,11.9
2002,NA,HISPANIC (ANY RACE),28,11339,35 000 to 49 999,17.3
2002,NA,HISPANIC (ANY RACE),28,11339,50 000 to 74 999,18.4
2002,NA,HISPANIC (ANY RACE),28,11339,75 000 to 99 999,11.8
2002,NA,HISPANIC (ANY RACE),28,11339,100 000 to 149 999,10.7
2002,NA,HISPANIC (ANY RACE),28,11339,150 000 to 199 999,3.4
2002,NA,HISPANIC (ANY RACE),28,11339,200 000 and over,2.7
2001,NA,HISPANIC (ANY RACE),28,10499,under 15 000,11.4
2001,NA,HISPANIC (ANY RACE),28,10499,15 000 to 24 999,12.6
2001,NA,HISPANIC (ANY RACE),28,10499,25 000 to 34 999,11.5
2001,NA,HISPANIC (ANY RACE),28,10499,35 000 to 49 999,16
2001,NA,HISPANIC (ANY RACE),28,10499,50 000 to 74 999,19.4
2001,NA,HISPANIC (ANY RACE),28,10499,75 000 to 99 999,11.6
2001,NA,HISPANIC (ANY RACE),28,10499,100 000 to 149 999,11.2
2001,NA,HISPANIC (ANY RACE),28,10499,150 000 to 199 999,3.6
2001,NA,HISPANIC (ANY RACE),28,10499,200 000 and over,2.7
2000,8,HISPANIC (ANY RACE),28,10034,under 15 000,11.3
2000,8,HISPANIC (ANY RACE),28,10034,15 000 to 24 999,11.9
2000,8,HISPANIC (ANY RACE),28,10034,25 000 to 34 999,11.6
2000,8,HISPANIC (ANY RACE),28,10034,35 000 to 49 999,15.9
2000,8,HISPANIC (ANY RACE),28,10034,50 000 to 74 999,20
2000,8,HISPANIC (ANY RACE),28,10034,75 000 to 99 999,12.3
2000,8,HISPANIC (ANY RACE),28,10034,100 000 to 149 999,11.1
2000,8,HISPANIC (ANY RACE),28,10034,150 000 to 199 999,3.3
2000,8,HISPANIC (ANY RACE),28,10034,200 000 and over,2.7
1999,9,HISPANIC (ANY RACE),28,9579,under 15 000,11.5
1999,9,HISPANIC (ANY RACE),28,9579,15 000 to 24 999,13.4
1999,9,HISPANIC (ANY RACE),28,9579,25 000 to 34 999,11.3
1999,9,HISPANIC (ANY RACE),28,9579,35 000 to 49 999,16.9
1999,9,HISPANIC (ANY RACE),28,9579,50 000 to 74 999,18.9
1999,9,HISPANIC (ANY RACE),28,9579,75 000 to 99 999,11.2
1999,9,HISPANIC (ANY RACE),28,9579,100 000 to 149 999,11.1
1999,9,HISPANIC (ANY RACE),28,9579,150 000 to 199 999,3.1
1999,9,HISPANIC (ANY RACE),28,9579,200 000 and over,2.5
1998,NA,HISPANIC (ANY RACE),28,9060,under 15 000,14.2
1998,NA,HISPANIC (ANY RACE),28,9060,15 000 to 24 999,13.7
1998,NA,HISPANIC (ANY RACE),28,9060,25 000 to 34 999,11.9
1998,NA,HISPANIC (ANY RACE),28,9060,35 000 to 49 999,16.2
1998,NA,HISPANIC (ANY RACE),28,9060,50 000 to 74 999,18.1
1998,NA,HISPANIC (ANY RACE),28,9060,75 000 to 99 999,11.3
1998,NA,HISPANIC (ANY RACE),28,9060,100 000 to 149 999,9.3
1998,NA,HISPANIC (ANY RACE),28,9060,150 000 to 199 999,3.2
1998,NA,HISPANIC (ANY RACE),28,9060,200 000 and over,2.2
1997,NA,HISPANIC (ANY RACE),28,8590,under 15 000,15.7
1997,NA,HISPANIC (ANY RACE),28,8590,15 000 to 24 999,13.9
1997,NA,HISPANIC (ANY RACE),28,8590,25 000 to 34 999,12.2
1997,NA,HISPANIC (ANY RACE),28,8590,35 000 to 49 999,16.1
1997,NA,HISPANIC (ANY RACE),28,8590,50 000 to 74 999,18.5
1997,NA,HISPANIC (ANY RACE),28,8590,75 000 to 99 999,10.2
1997,NA,HISPANIC (ANY RACE),28,8590,100 000 to 149 999,8.6
1997,NA,HISPANIC (ANY RACE),28,8590,150 000 to 199 999,2.7
1997,NA,HISPANIC (ANY RACE),28,8590,200 000 and over,2.1
1996,NA,HISPANIC (ANY RACE),28,8225,under 15 000,15.7
1996,NA,HISPANIC (ANY RACE),28,8225,15 000 to 24 999,15.1
1996,NA,HISPANIC (ANY RACE),28,8225,25 000 to 34 999,13.1
1996,NA,HISPANIC (ANY RACE),28,8225,35 000 to 49 999,15.9
1996,NA,HISPANIC (ANY RACE),28,8225,50 000 to 74 999,17.6
1996,NA,HISPANIC (ANY RACE),28,8225,75 000 to 99 999,10.1
1996,NA,HISPANIC (ANY RACE),28,8225,100 000 to 149 999,8.3
1996,NA,HISPANIC (ANY RACE),28,8225,150 000 to 199 999,2.4
1996,NA,HISPANIC (ANY RACE),28,8225,200 000 and over,1.8
1995,10,HISPANIC (ANY RACE),28,7939,under 15 000,17.4
1995,10,HISPANIC (ANY RACE),28,7939,15 000 to 24 999,14.6
1995,10,HISPANIC (ANY RACE),28,7939,25 000 to 34 999,14.1
1995,10,HISPANIC (ANY RACE),28,7939,35 000 to 49 999,15.4
1995,10,HISPANIC (ANY RACE),28,7939,50 000 to 74 999,17.1
1995,10,HISPANIC (ANY RACE),28,7939,75 000 to 99 999,9.9
1995,10,HISPANIC (ANY RACE),28,7939,100 000 to 149 999,7.7
1995,10,HISPANIC (ANY RACE),28,7939,150 000 to 199 999,2.2
1995,10,HISPANIC (ANY RACE),28,7939,200 000 and over,1.4
1994,11,HISPANIC (ANY RACE),28,7735,under 15 000,17.7
1994,11,HISPANIC (ANY RACE),28,7735,15 000 to 24 999,14.4
1994,11,HISPANIC (ANY RACE),28,7735,25 000 to 34 999,12.4
1994,11,HISPANIC (ANY RACE),28,7735,35 000 to 49 999,15.8
1994,11,HISPANIC (ANY RACE),28,7735,50 000 to 74 999,17.6
1994,11,HISPANIC (ANY RACE),28,7735,75 000 to 99 999,9.4
1994,11,HISPANIC (ANY RACE),28,7735,100 000 to 149 999,8.5
1994,11,HISPANIC (ANY RACE),28,7735,150 000 to 199 999,2.3
